"id","stationname","writedbtime","diskfree","devtemp","weidu","jingdu","gpslock","gpssatenum","fastvolta","trigerdatalen","filetouploadnum","hardver","softver"
"3541","5号站","8/7/2022 14:22:04","423512","48","31度56分29.603秒","117度21分6.608秒","A","20","50","7","0","10","1.6"
"3542","20号站","8/7/2022 14:22:04","407396","47","31度43分5.239秒","117度12分11.871秒","A","20","75","7","0","10","1.6"
"3543","13号站","8/7/2022 14:22:04","403145","49","31度52分43.636秒","117度17分5.172秒","A","20","50","7","0","10","1.6"
"3544","8号站","8/7/2022 14:22:04","427184","50","31度51分18.710秒","117度17分28.177秒","A","20","60","7","0","10","1.6"
"3545","2号站","8/7/2022 14:22:04","411712","52","31度49分18.503秒","117度11分20.808秒","A","20","100","7","0","10","1.6"
"3546","10号站","8/7/2022 14:22:04","414359","38","31度51分2.913秒","117度23分49.974秒","A","20","45","7","0","10","1.6"
"3547","6号站","8/7/2022 14:22:04","411409","48","31度50分32.209秒","117度15分49.353秒","A","20","50","7","0","10","1.6"
"3548","3号站","8/7/2022 14:22:04","422396","37","31度51分15.525秒","117度17分34.142秒","A","20","100","7","0","10","1.6"
"3549","11号站","8/7/2022 14:22:04","431299","44","31度46分45.207秒","117度22分32.869秒","A","20","50","7","0","10","1.6"
"3550","4号站","8/7/2022 14:22:04","422356","53","31度51分18.679秒","117度17分28.332秒","A","20","100","8","0","10","1.6"
"3551","9号站","8/7/2022 14:22:04","403797","0","31度56分2.179秒","117度7分24.728秒","A","20","50","7","0","10","1.6"
"3552","7号站","8/7/2022 14:22:04","398385","48","31度46分27.174秒","117度12分30.552秒","A","20","50","7","0","10","1.6"
"3553","1号站","8/7/2022 14:22:04","438565","35","31度51分15.579秒","117度17分34.047秒","A","17","100","7","0","10","1.6"
