id,stationname,writedbtime,diskfree,devtemp,weidu,jingdu,gpslock,gpssatenum,fastvolta,trigerdatalen,filetouploadnum,hardver,softver
3541,5号站,8/7/2022 14:22:04,423512,48,0.5574853176898062,2.048175878773036,A,20,50,7,0,10,1.6
3542,20号站,8/7/2022 14:22:04,407396,47,0.5535856510287112,2.0455834006755476,A,20,75,7,0,10,1.6
3543,13号站,8/7/2022 14:22:04,403145,49,0.5563897987796402,2.047005364026122,A,20,50,7,0,10,1.6
3544,8号站,8/7/2022 14:22:04,427184,50,0.5559780659120876,2.0471168954154377,A,20,60,7,0,10,1.6
3545,2号站,8/7/2022 14:22:04,411712,52,0.5553952859461951,2.0453358402639674,A,20,100,7,0,10,1.6
3546,10号站,8/7/2022 14:22:04,414359,38,0.5559014799058853,2.04896789947005,A,20,45,7,0,10,1.6
3547,6号站,8/7/2022 14:22:04,411409,48,0.5557526227138375,2.04663778315333,A,20,50,7,0,10,1.6
3548,3号站,8/7/2022 14:22:04,422396,37,0.5559626246004861,2.0471458145432653,A,20,100,7,0,10,1.6
3549,11号站,8/7/2022 14:22:04,431299,44,0.5546520859821575,2.04859408387985,A,20,50,7,0,10,1.6
3550,4号站,8/7/2022 14:22:04,422356,53,0.5559779156217882,2.0471176468669343,A,20,100,8,0,10,1.6
3551,9号站,8/7/2022 14:22:04,403797,0,0.5573523623842882,2.0441912921587027,A,20,50,7,0,10,1.6
3552,7号站,8/7/2022 14:22:04,398385,48,0.5545646595267167,2.0456739687235883,A,20,50,7,0,10,1.6
3553,1号站,8/7/2022 14:22:04,438565,35,0.5559628863998695,2.047145353968337,A,17,100,7,0,10,1.6
